estado	municipio	parroquia	centro	cod_centro	votosGPP2017	votosMUD2017	votosOTHER2017	votantesx2017	nulos2017	no_sustituidos_sum2017	reubicado_g2017	turnout2017	abstention2017	MUDshare2017	validos2017	votantes2015	abstencion2015	turnout2015	MUDshare2015	MUDshare2013	MCMshare2012
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA EDUCATIVA RAZETTI II"	"020301046"	532	285	14	1217	0	0	0	.6828266	.3171734	.6401926	831	941	.2112322	.7887678	.4826038	.4125654	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL CECILIA NUNEZ SUCRE"	"020301047"	304	90	3	581	2	0	0	.686747	.313253	.7657431	397	437	.24	.76	.4	.2597087	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL GIORGINA DE MATA"	"020301048"	519	270	16	1153	3	0	0	.7007806	.2992194	.6447205	805	911	.2078261	.7921739	.5	.359589	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE CAPACITACION DE ADULTOS JUANA PETRONILA DE HERNANDEZ"	"020301050"	151	77	6	283	0	0	0	.8268551	.1731449	.6452991	234	238	.1119403	.8880597	.3744493	.5	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"UNIDAD EDUCATIVA NUESTRA SEÃORA DE LOURDES II"	"020301052"	370	901	14	1973	0	0	0	.6512924	.3487076	.2879377	1285	1631	.1644467	.8355533	.7601266	.6613095	.0242915
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"INSTITUTO DE EDUCACION ESPECIAL BARCELONA"	"020301053"	584	1197	24	2779	1	0	0	.649874	.350126	.3235457	1805	2225	.1870661	.8129339	.7080395	.643366	.0308285
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"LICEO BOLIVARIANO DOCTOR LUIS RAZETTI"	"020301054"	476	577	13	1686	2	0	0	.6334519	.3665481	.4465291	1066	1345	.1936451	.8063549	.6138996	.5439297	.0146199
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA PRIMARIA BOLIVARIANA MADRE TERESA DE CALCUTA"	"020301055"	301	472	10	1171	0	0	0	.6686593	.3313407	.3844189	783	929	.1630631	.836937	.678022	.5225718	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA BOLIVARIANA PICAS DEL NEVERI"	"020301056"	264	158	3	646	0	0	0	.6578947	.3421053	.6211765	425	533	.1485623	.8514377	.4657258	.4168618	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA BASICA NACIONAL NUMERO 77 ANGOSTURA"	"020301057"	155	66	3	298	1	0	0	.7550336	.2449664	.6919643	224	239	.1672474	.8327526	.3873874	.3172691	
